,station_name,street_address,city,access_days_time
0,BMW OF DARIEN,138-142 Ledge Rd,Darien,24 hours daily
1,Dunkin’ - Tesla Supercharger,893 E Main St,Meriden,24 hours daily; for Tesla use only
2,Town of Beacon Falls - Commuter Lot,105 N Main St,Beacon Falls,24 hours daily
3,OLD SAYBROOK VW,319 Middlesex Turnpike,Old Saybrook,24 hours daily
4,Fairfield Rail Station,80 Mill Plain Rd,Fairfield,24 hours daily
5,FOUNDRY66,50 Franklin St,Norwich,24 hours daily
6,Corbins Corner Shopping Center - Tesla Supercharger,1445 New Britain Ave.,West Hartford,24 hours daily; for Tesla use only
7,GLASTONBURYEV,2327-2333 Main St,Glastonbury,24 hours daily
8,Whole Foods Market,150 Ledge Rd,Darien,8am-10pm daily; for customer use only
9,Mystic Marriott Hotel and Spa,625 North Rd,Groton,24 hours daily; guest use only; see front desk for access
10,Brass Mill Center - Shoppers World,495 Union St,Waterbury,6am-12am daily
11,University of Connecticut Health - Center Garage,263 Farmington Ave,Farmington,24 hours daily
12,D'Addario Nissan,329 Bridgeport Ave,Shelton,Dealership business hours
13,CT RAIL,198 N Cherry St,Wallingford,24 hours daily
14,Hampton Inn & Suites Rocky Hill - Hartford South - Tesla Destination,685 Cromwell Ave,Rocky Hill,24 hours daily; for customer use only; see front desk for access
15,Goodwives Shopping Center,25 Old Kings Hwy,Darien,24 hours daily
16,City of New Haven - Union Station Garage,50 Union Ave,New Haven,24 hours daily; pay lot
17,Easton Public Library,691 Morehouse Rd,Easton,24 hours daily
18,The Plaza at Buckland Hills - Tesla Supercharger,1470 Pleasant Valley Road,Manchester,24 hours daily; for Tesla use only
19,Greenlots - 92367,204 Stillman Hill Rd,Colebrook,24 hours daily
20,Mystic Diner Restaurant - Tesla Destination,253 Greenmanville  Ave,Mystic,24 hours daily; for customer use only
21,Connecticut Airport Authority - Bradley Airport,Cell Phone Lot,Windsor Locks,24 hours daily
22,University of Connecticut - Motor Pool,9 Discovery Dr,Storrs,8am-3pm M-F
23,Hammonasset Beach State Park - South,1288 Boston Post Rd,Madison,24 hours daily
24,Schaller Mitsubishi,25 Veterans Dr,New Britain,Dealership business hours
25,Mansfield Public Library,54 Warrenville Rd,Mansfield,24 hours daily
26,WESTLODGE,811 Burr Mountain Rd,Torrington,24 hours daily
27,TOWNHALL,100 Bentley Dr,Harwinton,24 hours daily
28,University of Connecticut - Avery Point,1084 Shennecossett Rd,Groton,24 hours daily
29,Middletown School District - Lawrence Elementary School,Kaplan Dr,Middletown,24 hours daily
30,Fairfield Mitsubishi,421 Tunxis Hill Rd,Fairfield,Dealership business hours
31,Gates Nissan,143 Boston Post Rd,North Windham,Dealership business hours
32,Water's Edge Resort and Spa - Tesla Destination,1525 Boston Post Rd,Westbrook,24 hours daily
33,North Haven PaviIion,100 Universal Dr,North Haven,24 hours daily
34,UNION STATION,Union Ave and Union Station,New Haven,24 hours daily
35,Torrington Town Hall,140 Main St,Torrington,24 hours daily
36,Crowley Nissan,1451 Farmington Ave,Bristol,Dealership business hours
37,Parthenon Diner Restaurant - Tesla Destination,374 E Main St,Branford,24 hours daily; for customer use only
38,Town of Mansfield - Community Center,10 S Eagleville Rd,Mansfield,24 hours daily
39,Manchester City Nissan,30 Tolland Turnpike,Manchester,Dealership business hours
40,City of Meriden - City Hall,142 E Main St,Meriden,24 hours daily
41,City of New Haven - Sherman Tyler Lot,60 N Frontage Rd,New Haven,24 hours daily; permit lot
42,City of Meriden - Meriden Public Library,105 Miller St,Meriden,24 hours daily
43,Blogoslawski Parking Garage,10 Franklin Square,New Britain,24 hours daily
44,Comfort Inn Guilford - Tesla Destination,300 Boston Post Rd,Guilford,24 hours daily; for customer use only; see front desk for access
45,Brass Mill Center - Entrance 5,495 Union St,Waterbury,6am-12pm daily
46,Town of Simsbury - Town Hall,933 Hopmeadow St,Simsbury,24 hours daily
47,Connecticut Legislative Parking Garage,240 Capitol Ave,Hartford,7am-7pm M-F
48,Middletown School District - Moody School,300 Country Club Rd,Middletown,24 hours daily
49,Barberino Nissan,505 N Colony St,Wallingford,Dealership business hours
50,CityPlace Garage,185 Asylum St,Hartford,Garage business hours
51,CURRAN VOLKSWAG,2774-2788 CT-113,Stratford,24 hours daily
52,"Inn at Stonington, a Select Registry Property - Tesla Destination",60 Water St,Stonington,24 hours daily; for customer use only
53,"Westport Town Hall 110 Myrtle Ave Westport, CT 06880",110 Myrtle Avenue,Westport,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified
54,STARWOOD,1 Star Point,Stamford,24 hours daily
55,Popeyes Kitchen - Fairfield Pizza,200 E Main St,Stratford,24 hours daily
56,Dunkin' Donuts - Tesla Supercharger,160 Kukas Lane,Waterbury,24 hours daily; for Tesla use only
57,Crest Ford,218 Flanders Rd,Niantic,24 hours daily
58,Central Connecticut State University - Sheridan Dorm Lot,65 Wells St,New Britain,24 hours daily
59,LIBRARY KIOSK,24 Main St,New Milford,24 hours daily
60,Hotel HiHo - Tesla Destination,4180 Black Rock Tpke,Fairfield,24 hours daily; for customer use only
61,Summer Street Garage,100 Summer St,Stamford,Restricted to garage hours; pay lot
62,MUNICIP STATION,3 Primrose St,Newtown,24 hours daily
63,PURDUE PHARMA,201 Tresser Blvd,Stamford,24 hours daily
64,Hartford High School,55 Forest St,Hartford,24 hours daily
65,Bloomfield Town Hall,800 Bloomfield Avenue,Bloomfield,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am
66,GUNNERY,16 Kirby Rd,Washington,24 hours daily
67,University of Connecticut - Storrs Center Garage,33 Royce Cir,Storrs,24 hours daily
68,JAGLRNH,521 Washington Ave,North Haven,24 hours daily
69,Town of Stafford - Town Hall,1 Main St,Stafford Springs,24 hours daily
70,Charter Oak International Academy,425 Oakwood Ave,West Hartford,24 hours daily
71,Town of Newington - Market Square,90 Market Square,Newington,24 hours daily
72,Riverfield School,1625 Mill Plain Rd,Fairfield,School hours
73,Capital Regional Development Authority (CRDA),105 Columbus Blvd,Hartford,6am-12am daily
74,The SoNo Collection,100 N Water St,Norwalk,6am-12am
75,City of New Haven - Whalley Blake Parking Lot,919 Whalley Ave,New Haven,24 hours daily; pay lot
76,Riverview Cinemas 8 and Playhouse - Tesla Destination,690 Main St S,Southbury,24 hours daily; for customer use only
77,The Ridgefield Playhouse,80 E Ridge Rd,Ridgefield,24 hours daily
78,Meriden Station Garage,24 Colony St,Meriden,24 hours daily
79,HONDA WESTPORT,1372 Post Rd E,Westport,24 hours daily
80,FOXWOODS,350 Trolley Line Blvd,Mashantucket,24 hours daily
81,TOWN HALL LOT,740 Main St,East Hartford,24 hours daily
82,FOXWOODS,350 Trolley Line Blvd,Ledyard,24 hours daily
83,Plainville High School,47 Robert Holcomb Way,Plainville,24 hours daily
84,Connecticut Welcome Center - Tesla Supercharger,1 West Ave.,Darien,24 hours daily; for Tesla use only
85,Whole Foods Market,350 Grasmere Ave,Fairfield,8am-10pm daily; for customer use only; see inside for access
86,Tamarack Country Club - Tesla Destination,55 Locust Rd,Greenwich,24 hours daily; for member use only; see valet for access
87,Madison Beach Hotel - Tesla Destination,94 W Wharf Rd,Madison,24 hours daily; overnight valet fee
88,Newington Electric,72 Pane Rd,Newington,24 hours daily
89,Premier Kia,205 N Main St,Branford,24 hours daily; priority for customer use
90,The Shoppes at Fox Run 1,25 Welles St # 55,Glastonbury,24 hours daily
91,NBCSG,98 Maher Rd,Stamford,24 hours daily
92,EDENS BISHOPS,345 N Main St,West Hartford,24 hours daily
93,Propark - Water Street Garage,161 Water St,New London,Restricted to garage hours; pay lot
94,Connecticut Post Mall - Tesla Supercharger,1201 Boston Post Road,Milford,24 hours daily; for Tesla use only
95,Manchester Honda,24 Adams St,Manchester,Dealership business hours
96,New London Mall - Tesla Supercharger,369 N Frontage Rd,New London,24 hours daily; for Tesla use only
97,Plainville Municipal Center,1 Central Square,Plainville,24 hours daily
98,The Study at Yale - Tesla Destination,1157 Chapel St,New Haven,24 hours daily; see valet for access
99,Connecticut Science Center,250 Columbus Blvd,Hartford,6am-6pm daily
100,Windham High School,355 High St,Windham,24 hours daily
101,BIG Y FOODS,401 Bridgeport Ave,Shelton,24 hours daily
102,WHOLE FOODS MKT,5 Sugar Hollow Rd,Danbury,24 hours daily
103,I-95 Madison NB Service Plaza - Tesla Supercharger,I-95 North Ave,Madison,24 hours daily; Tesla users only
104,Canton Town Hall,4 Market St,Canton,24 hours daily
105,UNION STATION,50 Union Ave,New Haven,24 hours daily
106,TOD,120 Main St,Durham,24 hours daily
107,Delamar Southport - Tesla Destination,275 Old Post Rd,Fairfield,24 hours daily; for customer use only; see valet for access
108,Andrew Ward School,755 Melville Ave,Fairfield,School hours
109,Connecticut Department of Energy and Environmental Protection,79 Elm St,Hartford,8:30am-4:30pm M-F
110,Arapahoe Parking Lot,105 LaSalle Rd,West Hartford,Garage business hours; pay lot
111,Southington Public Library,255 Main St,Southington,24 hours daily
112,NBCSG,84 Maher Rd,Stamford,24 hours daily
113,Paul Miller Nissan,930 Kings Hwy E,Fairfield,Dealership business hours
114,Town of New Fairfield - Town Hall,4 Brush Hill Rd,New Fairfield,24 hours daily
115,Chip's Family Restaurant - Tesla Destination,321  Boston Post Rd,Orange,24 hours daily; for customer use only
116,George Harte Nissan,426 Derby Ave,West Haven,Dealership business hours
117,STOP SHOP,148 Heights Rd,Darien,24 hours daily
118,East Shore District Health Department,688 E Main St,Branford,24 hours daily; 2 hour limit
119,Ridgefield BMW,746 Danbury Rd,Ridgefield,Dealership business hours; for customer use only
120,Big Y,22 Spencer Plain Rd,Old Saybrook,24 hours daily
121,Green Farms Plaza,1460 Post Rd E,Westport,24 hours daily
122,Bridgeport Hospital,267 Grant St,Bridgeport,24 hours daily
123,Town of Stafford - Community Center,3 Buckley Hwy,Stafford Springs,24 hours daily
124,Constitution Plaza - South,109 Constitution Plaza,Hartford,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours
125,Coventry Town Hall,1712 Main St,Coventry,24 hours daily
126,Curran Volkswagen,2785 Main St,Stratford,Dealership business hours
127,644 West Putnam,644 West Putnam Avenue,Greenwich,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified
128,Grove Street Parking Garage,65 Grove Street,New Haven,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified
129,Mohegan Sun - Tesla Destination,1 Mohegan Sun Blvd,Uncasville,24 hours daily; for customer use only; see valet for access
130,CVS West Haven,355 Campbell Ave,West Haven,24 hours daily
131,Central Connecticut State University - Vance Garage,150 Paul Manafort Sr. Dr,New Britain,After 5pm daily
132,City of New Haven - Crown Street Parking Garage,213 Crown St,New Haven,24 hours daily; pay lot
133,Figaro Restaurant,90 Elm St,Enfield,Restaurant business hours; for guest use only
134,Middletown School District - Board of Education,311 Hunting Hill Ave,Middletown,24 hours daily
135,Mansfield Parking Garage,9 Dog Ln,Storrs,Garage business hours; pay lot
136,Brass Mill Center - Entrance 6,495 Union St,Waterbury,6am-12pm daily
137,Ellington Town Hall,55 Main St,Ellington,24 hours daily
138,Fairfield Tennis Center,210 Old Dam Rd,Fairfield,24 hours daily
139,Trinity College,18-60 Crescent St,Hartford,24 hours daily
140,Saugatuck Fire Station,Railroad Place,Westport,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified
141,COMCAST,222 New Park Dr,Berlin,24 hours daily
142,Kent Town Hall,41 Kent Green Blvd,Kent,24 hours daily
143,Dunkin' Donuts,1205 Tolland Tpke,Manchester,24 hours daily
144,County Line Nissan - North,522 Winsted Rd,Torrington,Dealership business hours
145,TOWN OF MADISON,761 Boston Post Rd,Madison,24 hours daily
146,Rocky Neck State Park,244 W Main St,Niantic,Dawn to dusk
147,ELEMENT STATION,111 Morgan St,Stamford,24 hours daily
148,Saybrook Point Marina,2 Bridge St,Old Saybrook,24 hours daily
149,Town of Groton - Town Hall,45 Fort Hill Rd,Groton,24 hours daily
150,Harte Nissan,165 W Service Rd,Hartford,Dealership business hours
151,Highland Park Market,317 Highland St,Manchester,24 hours daily
152,Nissan - Norwich,691 W Thames St,Norwich,Dealership business hours; contact 860-892-6000 for more information
153,Wesleyan University,56 Hamlin Ct,MIddletown,24 hours daily
154,HAMPTON INN,129 Plains Rd,Milford,24 hours daily
155,Aitoro Appliance,401 Westport Ave,Norwalk,Store business hours; see inside for access
156,Putnam Downtown Municipal Parking Lot,165 Kennedy Dr,Putnam,24 hours daily
157,NYALA GAR 3,400 Nyala Farms Rd,Westport,24 hours daily
158,WHOLE FOODS MKT,5c Sugar Hollow Rd,Danbury,24 hours daily
159,East Norwalk Library,51 Van Zant St,Norwalk,24 hours daily
160,Greenwich Southbound Travel Plaza - Tesla Supercharger,2000 Merritt Parkway,Greenwich,24 hours daily; for Tesla use only
161,Propark America - Omni Hotel Chapel Square Garage,155 Temple St,New Haven,24 hours daily; pay lot
162,Mystic Marriott Hotel and Spa - Tesla Destination,625 North Rd,Groton,24 hours daily; for customer use only; see front desk for access
163,Connecticut Post Mall - Target,1201 Boston Post Rd,Milford,6am-12pm daily
164,SPIREP,1 N Water St,Norwalk,24 hours daily
165,Town of Norfolk - Town Clerk,19 Maple Ave,Norfolk,24 hours daily
166,Waterford Commons,915 Hartford Turnpike,Waterford,24 hours daily
167,Clinton Town Hall,54 E Main St,Clinton,24 hours daily
168,Cargill Chevrolet,23 Livery St,Putnam,24 hours daily
169,Bedford Street Garage,17 Forest St,Stamford,Restricted to garage hours; pay lot
170,Pomfret Town Hall,5 Haven Rd,Pomfret,24 hours daily
171,Delamar Greenwich Harbor - Tesla Destination,500 Steamboat Rd,Greenwich,24 hours daily; for customer use only; see valet for access
172,East Hartford Public Schools - Department of Facilities,734 Tolland St,East Hartford,24 hours daily
173,Windham Municipal Parking Lot,48 Church St,Willimantic,24 hours daily
174,Heritage Hotel - Tesla Destination,522 Heritage Rd,Southbury,24 hours daily; for customer use only; see front desk for access
175,Tri-Town Teachers Federal Credit Union,61 Jessup Rd,Westport,24 hours daily
176,Morgan Street Garage,155 Morgan St,Hartford,24 hours daily
177,NBCSG,Unnamed Road,Stamford,24 hours daily
178,Napoli Nissan,688 Bridgeport Ave,Milford,Dealership business hours
179,Congregational Church of Somersville,22 Maple St,Somersville,24 hours daily
180,I-95 Darien NB Service Plaza - Tesla Supercharger,1 E Trail,Darien,24 hours daily; Tesla users only
181,Town of Hamden - Spring Glen Municipal Parking Lot,1665 Whitney Ave,Hamden,24 hours daily
182,City of Milford - Parsons Government Center,70 W River St,Milford,24 hours daily
183,Hoffman Nissan,46 Albany Turnpike,West Simsbury,Dealership business hours
184,Premier Chevrolet,512 Providence Rd,Brooklyn,Dealership business hours
185,The Wallingford Victorian Inn - Tesla Destination,245 N Main St,Wallingford,24 hours daily; for customer use only
186,HONDADANBURY,102 Federal Rd,Danbury,24 hours daily
187,Village Center,87 Main St,East Hampton,24 hours daily
188,Connecticut Department of Corrections,38 Wolcott Hill Rd,Wethersfield,24 hours daily
189,Stamford Marriott Hotel - Tesla Destination,243 Tresser Blvd,Stamford,24 hours daily; for customer use only
190,Woodbridge Town Library,10 Newton Rd,Woodbridge,24 hours daily
191,Waterworks - Tesla Destination,60 Backus Ave,Danbury,24 hours daily; for customer use only
192,Town of East Haven,250 Main St,East Haven,24 hours daily
193,DECORMIER NISS,30 Tolland Turnpike,Manchester,24 hours daily
194,Lia Nissan - Enfield,10 Palomba Dr,Enfield,Dealership business hours
195,North Canaan Shopping Center - Tesla Supercharger,11 E Main St,North Canaan,24 hours daily; for Tesla use only
196,Lombard Ford,385 New Hartford Rd,Barkhamsted,Dealership business hours; customer use only
197,Danbury Fair Mall,7 Backus Ave,Danbury,24 hours daily
198,City of Milford - Public Library,57 New Haven Ave,Milford,24 hours daily
199,Public Parking Lot,1 Morse Ct,New Canaan,Parking lot hours
200,Milford Travel Plaza - Tesla Supercharger,I-95 Milford,Milford,24 hours daily; for Tesla use only
201,TS,1 American Ln,Greenwich,24 hours daily
202,Russell Mercier Senior Center,14 Stonecroft Dr,Hebron,24 hours daily
203,Roger Ludlowe School,689 Unquowa Rd,Fairfield,School hours
204,Town of Hebron,15 Gilead St,Hebron,24 hours daily
205,Southington Municipal Center,200 N Main St,Southington,24 hours daily
206,Middletown School District - Middletown High School,200 LaRosa Ln,Middletown,24 hours daily
207,Town of Groton - Town Hall Annex,134 Groton Long Point Rd,Groton,24 hours daily
208,TOWN HALL,31 Park Street,Guilford,24 hours daily
209,TRUMBULL MALL,5065 Main Street,Trumbull,24 hours daily
